measurement_id,timestamp,panjang_cm,lebar_cm,tinggi_cm,volume_cm3,berat_volumetrik_g,berat_aktual_g,chargeable_weight_g,chargeable_weight_kg,chargeable_source,actual_weight_range_g,detection_mode,detection_image,mask_image,json_file
integrated_20260522_012731_126041,2026-05-22 01:27:31,9.323,4.764,9.446,419.547,69.925,580.252,580.252,0.580252,actual,0.39,hsv_cardboard,hasil_tahap14/archive/detection_20260522_012731_126041.jpg,hasil_tahap14/archive/mask_20260522_012731_126041.jpg,hasil_tahap14/archive/integrated_20260522_012731_126041.json
integrated_20260522_013043_647791,2026-05-22 01:30:43,11.076,9.082,3.219,323.604,53.934,575.644,575.644,0.575644,actual,1.094,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013043_647791.jpg,hasil_tahap14/archive/mask_20260522_013043_647791.jpg,hasil_tahap14/archive/integrated_20260522_013043_647791.json
integrated_20260522_013117_931405,2026-05-22 01:31:17,10.435,8.602,4.734,425.013,70.836,558.065,558.065,0.558065,actual,0.487,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013117_931405.jpg,hasil_tahap14/archive/mask_20260522_013117_931405.jpg,hasil_tahap14/archive/integrated_20260522_013117_931405.json
integrated_20260522_013230_874250,2026-05-22 01:32:30,10.402,8.571,4.734,421.994,70.332,570.259,570.259,0.570259,actual,2.625,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013230_874250.jpg,hasil_tahap14/archive/mask_20260522_013230_874250.jpg,hasil_tahap14/archive/integrated_20260522_013230_874250.json
integrated_20260522_013303_119312,2026-05-22 01:33:03,8.838,4.98,10.733,472.356,78.726,561.804,561.804,0.561804,actual,0.357,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013303_119312.jpg,hasil_tahap14/archive/mask_20260522_013303_119312.jpg,hasil_tahap14/archive/integrated_20260522_013303_119312.json
integrated_20260522_013332_975143,2026-05-22 01:33:32,10.679,5.264,8.511,478.409,79.735,523.819,523.819,0.523819,actual,0.69,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013332_975143.jpg,hasil_tahap14/archive/mask_20260522_013332_975143.jpg,hasil_tahap14/archive/integrated_20260522_013332_975143.json
integrated_20260522_013349_098616,2026-05-22 01:33:49,10.85,5.457,8.241,487.914,81.319,500.776,500.776,0.500776,actual,0.172,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013349_098616.jpg,hasil_tahap14/archive/mask_20260522_013349_098616.jpg,hasil_tahap14/archive/integrated_20260522_013349_098616.json
integrated_20260522_013407_879380,2026-05-22 01:34:07,10.723,5.139,8.531,470.074,78.346,519.576,519.576,0.519576,actual,0.664,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013407_879380.jpg,hasil_tahap14/archive/mask_20260522_013407_879380.jpg,hasil_tahap14/archive/integrated_20260522_013407_879380.json
integrated_20260522_013429_228941,2026-05-22 01:34:29,10.853,4.692,8.525,434.022,72.337,548.562,548.562,0.548562,actual,0.31,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013429_228941.jpg,hasil_tahap14/archive/mask_20260522_013429_228941.jpg,hasil_tahap14/archive/integrated_20260522_013429_228941.json
integrated_20260522_013517_156788,2026-05-22 01:35:17,11.128,9.22,3.057,313.53,52.255,562.937,562.937,0.562937,actual,1.571,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013517_156788.jpg,hasil_tahap14/archive/mask_20260522_013517_156788.jpg,hasil_tahap14/archive/integrated_20260522_013517_156788.json
integrated_20260522_013558_173224,2026-05-22 01:35:58,10.697,8.843,3.856,364.769,60.795,571.009,571.009,0.571009,actual,1.68,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013558_173224.jpg,hasil_tahap14/archive/mask_20260522_013558_173224.jpg,hasil_tahap14/archive/integrated_20260522_013558_173224.json
integrated_20260522_013622_709963,2026-05-22 01:36:22,8.815,4.839,10.725,457.674,76.279,575.171,575.171,0.575171,actual,0.487,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013622_709963.jpg,hasil_tahap14/archive/mask_20260522_013622_709963.jpg,hasil_tahap14/archive/integrated_20260522_013622_709963.json
integrated_20260522_013648_047758,2026-05-22 01:36:48,10.805,4.579,8.525,421.841,70.307,559.54,559.54,0.55954,actual,1.462,hsv_cardboard,hasil_tahap14/archive/detection_20260522_013648_047758.jpg,hasil_tahap14/archive/mask_20260522_013648_047758.jpg,hasil_tahap14/archive/integrated_20260522_013648_047758.json
